time, mean_OMNO2d_003_ColumnAmountNO2TropCloudScreened,location_name,location_coordinates
2019-05-23,2.14049439e+15,ROME,12E_40N_15E_42N
2019-05-24,1.69704399e+15,ROME,12E_40N_15E_42N
2019-01-31,-1.88823177e+15,MADRID,5W_39N_2W_41N
2019-02-01,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-02-02,1.43632176e+15,MADRID,5W_39N_2W_41N
2019-02-03,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-02-04,2.60834599e+15,MADRID,5W_39N_2W_41N
2019-02-05,2.95984343e+15,MADRID,5W_39N_2W_41N
2019-02-06,3.29967251e+15,MADRID,5W_39N_2W_41N
2019-02-07,2.61843406e+15,MADRID,5W_39N_2W_41N
2019-02-08,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-02-09,1.98133176e+15,MADRID,5W_39N_2W_41N
2019-02-10,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-02-11,1.71414614e+15,MADRID,5W_39N_2W_41N
2019-02-12,2.25489944e+15,MADRID,5W_39N_2W_41N
2019-02-13,1.68093356e+15,MADRID,5W_39N_2W_41N
2019-02-14,1.57085087e+15,MADRID,5W_39N_2W_41N
2019-02-15,7.41471578e+13,MADRID,5W_39N_2W_41N
2019-02-16,1.531453e+15,MADRID,5W_39N_2W_41N
2019-02-17,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-02-18,1.62412712e+15,MADRID,5W_39N_2W_41N
2019-02-19,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-02-20,3.27575142e+15,MADRID,5W_39N_2W_41N
2019-02-21,2.90367196e+15,MADRID,5W_39N_2W_41N
2019-02-22,1.96798945e+15,MADRID,5W_39N_2W_41N
2019-02-23,2.88431294e+15,MADRID,5W_39N_2W_41N
2019-02-24,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-02-25,3.09096099e+15,MADRID,5W_39N_2W_41N
2019-02-26,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-02-27,2.01082155e+15,MADRID,5W_39N_2W_41N
2019-02-28,6.17237669e+14,MADRID,5W_39N_2W_41N
2019-03-01,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-02,1.59388585e+15,MADRID,5W_39N_2W_41N
2019-03-03,1.22047187e+15,MADRID,5W_39N_2W_41N
2019-03-04,1.64512911e+15,MADRID,5W_39N_2W_41N
2019-03-05,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-06,5.1933144e+14,MADRID,5W_39N_2W_41N
2019-03-07,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-08,2.74647831e+15,MADRID,5W_39N_2W_41N
2019-03-09,2.16144337e+15,MADRID,5W_39N_2W_41N
2019-03-10,1.57871146e+15,MADRID,5W_39N_2W_41N
2019-03-11,1.6841062e+15,MADRID,5W_39N_2W_41N
2019-03-12,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-13,2.02241205e+15,MADRID,5W_39N_2W_41N
2019-03-14,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-15,2.95520647e+15,MADRID,5W_39N_2W_41N
2019-03-16,2.92867478e+14,MADRID,5W_39N_2W_41N
2019-03-17,1.69367083e+15,MADRID,5W_39N_2W_41N
2019-03-18,1.03312439e+15,MADRID,5W_39N_2W_41N
2019-03-19,1.75839008e+15,MADRID,5W_39N_2W_41N
2019-03-20,1.68422391e+15,MADRID,5W_39N_2W_41N
2019-03-21,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-22,2.71850411e+15,MADRID,5W_39N_2W_41N
2019-03-23,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-24,1.90675154e+15,MADRID,5W_39N_2W_41N
2019-03-25,2.67404261e+15,MADRID,5W_39N_2W_41N
2019-03-26,2.66597344e+15,MADRID,5W_39N_2W_41N
2019-03-27,1.99627288e+15,MADRID,5W_39N_2W_41N
2019-03-28,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-29,1.9731524e+15,MADRID,5W_39N_2W_41N
2019-03-30,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-03-31,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-01,-1.50938358e+15,MADRID,5W_39N_2W_41N
2019-04-02,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-03,1.974153e+15,MADRID,5W_39N_2W_41N
2019-04-04,1.71141871e+15,MADRID,5W_39N_2W_41N
2019-04-05,1.34952409e+15,MADRID,5W_39N_2W_41N
2019-04-06,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-07,2.3087637e+15,MADRID,5W_39N_2W_41N
2019-04-08,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-09,3.60370674e+14,MADRID,5W_39N_2W_41N
2019-04-10,1.74314898e+15,MADRID,5W_39N_2W_41N
2019-04-11,2.78999143e+15,MADRID,5W_39N_2W_41N
2019-04-12,3.18363699e+15,MADRID,5W_39N_2W_41N
2019-04-13,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-14,1.20506756e+15,MADRID,5W_39N_2W_41N
2019-04-15,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-16,2.18062536e+15,MADRID,5W_39N_2W_41N
2019-04-17,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-18,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-19,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-20,1.31723305e+15,MADRID,5W_39N_2W_41N
2019-04-21,2.09800562e+15,MADRID,5W_39N_2W_41N
2019-04-22,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-23,-4.4950611e+14,MADRID,5W_39N_2W_41N
2019-04-24,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-04-25,2.02613914e+15,MADRID,5W_39N_2W_41N
2019-04-26,1.71699062e+15,MADRID,5W_39N_2W_41N
2019-04-27,2.00693111e+15,MADRID,5W_39N_2W_41N
2019-04-28,9.30707401e+14,MADRID,5W_39N_2W_41N
2019-04-29,7.21754759e+14,MADRID,5W_39N_2W_41N
2019-04-30,2.06367407e+15,MADRID,5W_39N_2W_41N
2019-05-01,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-05-02,1.87903195e+15,MADRID,5W_39N_2W_41N
2019-05-03,6.06293287e+14,MADRID,5W_39N_2W_41N
2019-05-04,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-05-05,9.29006996e+14,MADRID,5W_39N_2W_41N
2019-05-06,1.5416306e+15,MADRID,5W_39N_2W_41N
2019-05-07,2.36402436e+15,MADRID,5W_39N_2W_41N
2019-05-08,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-05-09,1.14159573e+15,MADRID,5W_39N_2W_41N
2019-05-10,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-05-11,9.69234734e+14,MADRID,5W_39N_2W_41N
2019-05-12,1.91789376e+15,MADRID,5W_39N_2W_41N
2019-05-13,2.47309183e+15,MADRID,5W_39N_2W_41N
2019-05-14,1.66875237e+15,MADRID,5W_39N_2W_41N
2019-05-15,1.0464965e+15,MADRID,5W_39N_2W_41N
2019-05-16,2.34115392e+15,MADRID,5W_39N_2W_41N
2019-05-17,-1.267651e+30,MADRID,5W_39N_2W_41N
2019-05-18,1.77163348e+15,MADRID,5W_39N_2W_41N
2019-05-19,1.01604343e+15,MADRID,5W_39N_2W_41N
2019-05-20,1.218479e+15,MADRID,5W_39N_2W_41N
2019-05-21,2.11703998e+15,MADRID,5W_39N_2W_41N
2019-05-22,1.20125189e+15,MADRID,5W_39N_2W_41N
2019-05-23,3.11003226e+15,MADRID,5W_39N_2W_41N
2019-05-24,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-01-31,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-01,1.23357635e+15,MADRID,5W_39N_2W_41N
2020-02-02,9.70536109e+14,MADRID,5W_39N_2W_41N
2020-02-03,9.94080717e+14,MADRID,5W_39N_2W_41N
2020-02-04,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-05,1.49797977e+15,MADRID,5W_39N_2W_41N
2020-02-06,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-07,2.30927614e+15,MADRID,5W_39N_2W_41N
2020-02-08,6.00288923e+14,MADRID,5W_39N_2W_41N
2020-02-09,5.62365637e+14,MADRID,5W_39N_2W_41N
2020-02-10,1.5100603e+15,MADRID,5W_39N_2W_41N
2020-02-11,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-12,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-13,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-14,1.62859362e+15,MADRID,5W_39N_2W_41N
2020-02-15,1.12279431e+15,MADRID,5W_39N_2W_41N
2020-02-16,1.11601477e+15,MADRID,5W_39N_2W_41N
2020-02-17,1.06735776e+15,MADRID,5W_39N_2W_41N
2020-02-18,8.93231328e+14,MADRID,5W_39N_2W_41N
2020-02-19,1.2720308e+15,MADRID,5W_39N_2W_41N
2020-02-20,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-21,2.00805102e+15,MADRID,5W_39N_2W_41N
2020-02-22,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-23,1.01670365e+15,MADRID,5W_39N_2W_41N
2020-02-24,2.001835e+15,MADRID,5W_39N_2W_41N
2020-02-25,4.59284261e+15,MADRID,5W_39N_2W_41N
2020-02-26,1.48135972e+15,MADRID,5W_39N_2W_41N
2020-02-27,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-28,1.87579529e+15,MADRID,5W_39N_2W_41N
2020-02-29,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-01,6.47876288e+14,MADRID,5W_39N_2W_41N
2020-03-02,2.14463474e+15,MADRID,5W_39N_2W_41N
2020-03-03,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-04,1.36530407e+15,MADRID,5W_39N_2W_41N
2020-03-05,-1.30647456e+15,MADRID,5W_39N_2W_41N
2020-03-06,1.87828906e+15,MADRID,5W_39N_2W_41N
2020-03-07,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-08,1.7942391e+15,MADRID,5W_39N_2W_41N
2020-03-09,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-10,2.60877011e+15,MADRID,5W_39N_2W_41N
2020-03-11,1.57962978e+15,MADRID,5W_39N_2W_41N
2020-03-12,2.25939251e+15,MADRID,5W_39N_2W_41N
2020-03-13,1.85146256e+15,MADRID,5W_39N_2W_41N
2020-03-14,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-15,1.70536468e+15,MADRID,5W_39N_2W_41N
2020-03-16,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-17,1.43367512e+15,MADRID,5W_39N_2W_41N
2020-03-18,3.27548728e+15,MADRID,5W_39N_2W_41N
2020-03-19,1.59711057e+15,MADRID,5W_39N_2W_41N
2020-03-20,2.15692654e+15,MADRID,5W_39N_2W_41N
2020-03-21,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-22,1.7162539e+15,MADRID,5W_39N_2W_41N
2020-03-23,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-24,2.28025692e+15,MADRID,5W_39N_2W_41N
2020-03-25,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-26,1.20617741e+15,MADRID,5W_39N_2W_41N
2020-03-27,9.71066336e+14,MADRID,5W_39N_2W_41N
2020-03-28,1.30322354e+15,MADRID,5W_39N_2W_41N
2020-03-29,1.74994496e+15,MADRID,5W_39N_2W_41N
2020-03-30,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-31,1.64715311e+15,MADRID,5W_39N_2W_41N
2020-04-01,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-04-02,1.48272592e+15,MADRID,5W_39N_2W_41N
2020-04-03,1.44831572e+15,MADRID,5W_39N_2W_41N
2020-04-04,1.60810233e+15,MADRID,5W_39N_2W_41N
2020-04-05,1.27619034e+15,MADRID,5W_39N_2W_41N
2020-04-06,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-04-07,1.81895529e+15,MADRID,5W_39N_2W_41N
2020-04-08,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-04-09,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-04-10,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-04-11,9.33808904e+14,MADRID,5W_39N_2W_41N
2020-04-12,1.16559064e+15,MADRID,5W_39N_2W_41N
2020-04-13,1.10595938e+15,MADRID,5W_39N_2W_41N
2020-04-14,1.62538031e+15,MADRID,5W_39N_2W_41N
2020-04-15,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-04-16,1.37102389e+15,MADRID,5W_39N_2W_41N
2020-04-17,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-04-18,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-04-19,1.00381231e+15,MADRID,5W_39N_2W_41N
2020-04-20,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-04-21,7.08736209e+13,MADRID,5W_39N_2W_41N
2020-04-22,7.61480522e+14,MADRID,5W_39N_2W_41N
2020-04-23,1.67954267e+15,MADRID,5W_39N_2W_41N
2020-04-24,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-04-25,1.9389301e+15,MADRID,5W_39N_2W_41N
2020-04-26,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-04-27,6.81108866e+14,MADRID,5W_39N_2W_41N
2020-04-28,1.02278371e+15,MADRID,5W_39N_2W_41N
2020-04-29,1.68847298e+15,MADRID,5W_39N_2W_41N
2020-04-30,1.59026573e+15,MADRID,5W_39N_2W_41N
2020-05-01,-5.48301914e+15,MADRID,5W_39N_2W_41N
2020-05-02,8.52168622e+14,MADRID,5W_39N_2W_41N
2020-05-03,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-05-04,1.94076298e+15,MADRID,5W_39N_2W_41N
2020-05-05,7.00259051e+14,MADRID,5W_39N_2W_41N
2020-05-06,1.30631833e+15,MADRID,5W_39N_2W_41N
2020-05-07,1.53588312e+15,MADRID,5W_39N_2W_41N
2020-05-08,-4.82877175e+13,MADRID,5W_39N_2W_41N
2020-05-09,7.19323404e+14,MADRID,5W_39N_2W_41N
2020-05-10,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-05-11,1.59918745e+15,MADRID,5W_39N_2W_41N
2020-05-12,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-05-13,1.13885662e+15,MADRID,5W_39N_2W_41N
2020-05-14,1.39638388e+14,MADRID,5W_39N_2W_41N
2020-05-15,1.74928904e+15,MADRID,5W_39N_2W_41N
2020-05-16,1.04135851e+15,MADRID,5W_39N_2W_41N
2020-05-17,1.12148851e+15,MADRID,5W_39N_2W_41N
2020-05-18,1.4575695e+15,MADRID,5W_39N_2W_41N
2020-05-19,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-05-20,2.10487932e+15,MADRID,5W_39N_2W_41N
2020-05-21,1.10767589e+15,MADRID,5W_39N_2W_41N
2020-05-22,1.57156262e+15,MADRID,5W_39N_2W_41N
2020-05-23,1.12324468e+15,MADRID,5W_39N_2W_41N
2020-05-24,-2.96234061e+14,MADRID,5W_39N_2W_41N