Content,Date
"RT @#####: Wuhan Virology institute director says she has three strains of coronavirus on site but none of them match COVID-19 https:/…",2020-05-25
"RT @#####: Italian gallery introduces tags to keep visitors 1.5 metres apart https://t.co/Po9c5Y41gM",
"RT @#####: Let's hope for the best from Moderna's vaccine. FYI, science has never produced a vaccine for any coronavirus that hits…",2020-05-25
"RT @#####: Wuhan lab admits to having three live strains of bat coronavirus on site https://t.co/E8HofFBsuO https://t.co/mZRSDFgfV7",2020-05-25
"RT @#####: Start-ups race to develop Covid-19 immunity passports https://t.co/2cf1kDzEe6",2020-05-24
"RT @#####: The virus has opened doors for surveillance and monitoring technologies. https://t.co/Q9eRLocD2t",2020-05-24
"RT @#####: Trump announces three days of mourning for the victims of coronavirus https://t.co/FGxN3qci8Z",2020-05-22
"EP 4) URGENT: COVID-19 PREDICTED BY US MILITARY INTELLIGENCE https://t.co/h9LzU76pb8 via @#####",2020-05-20
"EP 5) ALERT: COVID-19 FALLOUT IS OUT OF OUR CONTROL https://t.co/KQRnLQMZRE via @#####",2020-05-20
"EP 6) COVID-19 Death rate approaching a dangerous level! https://t.co/AjpwfMqavr via @#####",2020-05-20
"EP 7) COVID-19 CONFIRMS GLOBAL THREAT FROM THE KILLSHOT! https://t.co/jymnBnbqnn via @#####",2020-05-20
"EP 8) CORONAVIRUS - WE ARE NOT PREPARED FOR WHAT COMES NEXT! https://t.co/9rh12TBwh3 via @#####",2020-05-20
"RT @#####: Hackers disrupt COVID-19 research by remotely hijacking supercomputers across Europe https://t.co/3KFnG2xE2g",2020-05-19
"RT @#####: Du Wei, 58, the Chinese ambassador to Israel was found dead in his home north of Tel Aviv on Sunday. He was appointed as envo…",2020-05-17
"RT @#####: Professor Lockdown's modelling which predicted 500,000 would die from Covid-19 is a 'mess which would get you fired' https…",2020-05-17
"Researchers create durable, washable textile coating that can repel viruses https://t.co/LYWq7X6Mhj via @#####_com",2020-05-16
"Supercomputers in Europe being used to research Covid-19 were hacked this week https://t.co/DNtdw36qxx via @#####",2020-05-16
"RT @#####: We’ve launched our COVID-19 Antibody Test! These taken-at-home, lab-analysed tests are available to anyone in the UK, a…",2020-05-16
"RT @#####: This Bill Gates-backed program in Seattle is sending at-home COVID tests to anyone who wants one https://t.co/XMOec7Mko3",2020-05-16
"RT @#####: This weekend, we must all continue to stay alert and control the virus. #StayAlert https://t.co/UQJ9QbHWrJ",2020-05-16
"RT @#####: Church in Australia selling bleach as a coronavirus treatment fined $151,200 https://t.co/P69zphP8tc",2020-05-13
"RT @#####: Choir practice during Covid19. Not a s"Mart move. https://t.co/JUeXndDZ1O",2020-05-13
"RT @#####: We will beat this virus together. Please continue to stay alert, and follow the latest guidelines: https://t.co/ZDw2aAM…",2020-05-13
"RT @#####: Ultraviolet light has been in use for decades in hospitals and operating rooms. So can it be used to help stop the spread of COVI…",2020-05-13
"RT @#####_com: It's like playing 'Russian Roulette,' but with #COVID19 instead of bullets. https://t.co/U7RsBThuMN",2020-05-13
"RT @#####: 3) Herd immunity thrown under the bus by an Irishman. https://t.co/60CFf1Lin0 https://t.co/4nYCQ36SLA",2020-05-13
"RT @#####: If 80% of Americans Wore Masks, COVID-19 Infections Would Plummet, New Study Says. #COVID19 https://t.co/qJCBRC3ejC",2020-05-13
"RT @#####: NYC could stay partially closed until August https://t.co/BgwXhFHbzs",2020-05-12
"RT @#####: #Coronavirus: What the quarantine deal between the UK and France means for your holiday plans https://t.co/CbVg9JooNL",2020-05-11
"RT @#####: The #COVID19 crisis represents a critically important moment of transformation for all sectors of the US healthcare industry.…",2020-05-11
"RT @#####: ??TAKE HEED: What happened in South Korea is pretty much what you'd expect: An infected person went to several clubs in 1 n…",2020-05-11
"RT @#####: Germany's R rate climbs further above 1 as country RELAXES coronavirus restrictions https://t.co/3JNXJG5Fdt",2020-05-11
"RT @#####: Analysis of cellphone location data in Wuhan virology lab that studied coronavirus shutdown in October after 'hazardous eve…",2020-05-10
"RT @#####: Copper kills coronavirus. Why aren’t our surfaces covered in it? https://t.co/L84ADkFpFG",2020-05-09
"RT @#####"FeboatHQ: NASA, partners launch virtual hackathon to develop COVID-19 solutions https://t.co/GwaXWjQdA3",2020-05-09
"RT @#####: A decade of job gains, gone https://t.co/JVQ0EeTCuh",2020-05-08
"RT @#####: 14.7% official unemployment rate. Worst since the Great Depression. And doesn’t come close to reflecting how many people…",2020-05-08
"RT @#####: Thank you for all that you are doing to protect our NHS and save lives. #StayHomeSaveLives https://t.co/xN5HGVnwgx",2020-05-08
"RT @#####: Covidiot dressed as 17th century Black Death physician is spotted in north London https://t.co/9ZKHaFyn2C",2020-05-08
"Real Doctor Reacts to CONTAGION | Did It Predict COVID-19? https://t.co/8tNwnE06Re via @#####",2020-05-08
"RT @#####: 75 years on, we are a free people because of everything they did. Our gratitude will be eternal. #VEDay75 https://t.co/r7…",2020-05-08
"RT @#####: Tonight I lit a candle by the grave of the Unknown Warrior in Westminster Abbey in remembrance of those who gave their li…",2020-05-07
"RT @#####: Thank you to all of our carers for your fantastic work, day in, day out. You are pillars of society in the fight against…",2020-05-07
"RT @#####: Buffy the Airline Slayer https://t.co/XXIICEJ7sD",2020-05-04
"RT @#####: Warren Buffett said the $137 billion he had on hand “isn’t all that huge when you think about worst-case possibilities.”…",2020-05-04
"RT @#####: China reports the lowest number of active coronavirus cases since Wuhan went into lockdown https://t.co/Fb6owDpQUt",2020-05-04
"RT @#####: THIRD Russian doctor plunges from hospital window 24 hours after warning of PPE shortages amid coronavirus crisis https://t…",2020-05-04
"RT @#####: Scientists baffled by unusual coronavirus effect dubbed 'happy hypoxia' https://t.co/MvUT0saU0x https://t.co/grctWp2yA1",2020-05-04
"RT @#####: 'Once upon a virus': China mocks the US response to the coronavirus crisis with a Lego-like animation https://t.co/jLd1yihmwy",2020-05-03
"RT @#####: Bombshell 'Five Eyes' Western intelligence dossier claims China lied about human-to-human transmission https://t.co/YGel9WG…",2020-05-03
"RT @#####: Lawyer dresses as the Grim Reaper to protest the reopening of Florida beaches during the COVID-19 outbreak https://t.co/zEh…",2020-05-03
"RT @#####: Wuhan virus lab 'cover up': Startling photos of scientists wearing little or no protection as they handle deadly bat samples…",2020-05-03
"RT @#####: Warren Buffett's firm Berkshire Hathaway suffers nearly $50billion loss in first quarter https://t.co/9FaR8M6PYE",2020-05-03
"RT @#####: Warren Buffett says Berkshire have sold ALL $4BILLION of its airline stocks https://t.co/ocTSfFdPWt",2020-05-03
"RT @#####: Bring back DRIVE-IN MOVIES ??? Thinking driv-in’s could make a cool comeback during the #COVID19 era. Grew up with them as a…",2020-05-03
"RT @#####: ICYMI: Australia's @##### has launched a #coronavirus contact-tracing app called #CovidSafe as it starts to ease lockd…",2020-05-01
"RT @#####: Trump says "there's a lot of theories" about the origin of the coronavirus while national intelligence agencies believe #Cov…",2020-05-01
"RT @#####: Amazon extends work from home regime till October 2 https://t.co/6WruYJ39hc https://t.co/9k5mUrwurH",2020-05-01
"RT @#####: WHO ministerial to open on","May 18; UNICEF seeks flights for vaccines https://t.co/QURmq5JmUD https://t.co/MAnxqoGZjA",2020-05-01
"RT @#####: Fact Checker: Was the new coronavirus accidentally released from a Wuhan lab? It’s doubtful. https://t.co/hqiuPmErpZ",2020-05-01
"RT @#####: Donald Trump says he has seen evidence that the coronavirus started in Wuhan virology laboratory https://t.co/jpJydTWqZe",2020-05-01
"RT @#####: He made the claim at his White House press conference last night https://t.co/rJAmvYRJo3",2020-05-01
"RT @#####24: WATCH: Private security have prevented residents from running on the Umhlanga promenade. Unlike the packed Golden Mile, thi…",2020-05-01
"RT @#####: Unlike the Durban beachfront, the Umhlanga promenade is empty. Private security have closed off the area saying that it is too…",2020-05-01
"RT @#####: Banned from the global dollar payments system? No problem. Iran repairs Venezuela's refineries and Venezuela pays the r…",2020-05-01
"RT @#####: I like this! #ThursdayMotivation https://t.co/4NSA8tiHem",2020-05-01
"RT @#####: Apparently it's","May Day. Nice one, James! #WorkZone2 @##### https://t.co/Q5yxbUAAda",2020-05-01
"RT @#####: It's 9am Mzansi. Jog & walk time is over. Back indoors where you belong! (Stay safe. Flatten the curve ??) #WorkZone2 @#####…",2020-05-01